,ZCTA,Total population,Total population Male,Total population Female,Total population Sex ratio (males per 100 females),Total population Under 5 years,Total population 5 to 9 years,Total population 10 to 14 years,Total population 15 to 19 years,Total population 20 to 24 years,Total population 25 to 34 years,Total population 35 to 44 years,Total population 45 to 54 years,Total population 55 to 59 years,Total population 60 to 64 years,Total population 65 to 74 years,Total population 75 to 84 years,Total population 85 years and over,Total population Median age (years),Total population Under 18 years,Total population 16 years and over,Total population 18 years and over,Total population 21 years and over,Total population 62 years and over,Total population 65 years and over,Total population 18 years and over.1,Total population 18 years and over Male,Total population 18 years and over Female,Total population 18 years and over Sex ratio (males per 100 females),Total population 65 years and over.1,Total population 65 years and over Male,Total population 65 years and over Female,Total population 65 years and over Sex ratio (males per 100 females),Total population One race,Total population Two or More Races,Total population One race.1,Total population One race White,Total population One race Black or African American,Total population One race American Indian and Alaska Native,Total population One race American Indian and Alaska Native Cherokee tribal grouping,Total population One race American Indian and Alaska Native Chippewa tribal grouping,Total population One race American Indian and Alaska Native Navajo tribal grouping,Total population One race American Indian and Alaska Native Sioux tribal grouping,Total population One race Asian,Total population One race Asian Asian Indian,Total population One race Asian Chinese,Total population One race Asian Filipino,Total population One race Asian Japanese,Total population One race Asian Korean,Total population One race Asian Vietnamese,Total population One race Asian Other Asian,Total population One race Native Hawaiian and Other Pacific Islander,Total population One race Native Hawaiian and Other Pacific Islander Chamorro,Total population One race Native Hawaiian and Other Pacific Islander Native Hawaiian,Total population One race Native Hawaiian and Other Pacific Islander Samoan,Total population One race Native Hawaiian and Other Pacific Islander Other Native Hawaiian and Other Pacific Islander,Total population One race Some Other Race,Total population Two or More Races.1,Total population Two or More Races White and Black or African American,Total population Two or More Races White and American Indian and Alaska Native,Total population Two or More Races White and Asian,Total population Two or More Races White and Some Other Race,Total population Two or More Races Black or African American and American Indian and Alaska Native,Total population Two or More Races Black or African American and Some Other Race,Total population White,Total population Black or African American,Total population American Indian and Alaska Native,Total population Asian,Total population Native Hawaiian and Other Pacific Islander,Total population Some Other Race,Total population Hispanic or Latino (of any race),Total population Hispanic or Latino (of any race) Mexican,Total population Hispanic or Latino (of any race) Puerto Rican,Total population Hispanic or Latino (of any race) Cuban,Total population Hispanic or Latino (of any race) Other Hispanic or Latino,Total population Not Hispanic or Latino,Total population Not Hispanic or Latino White alone,Total population Not Hispanic or Latino Black or African American alone,Total population Not Hispanic or Latino American Indian and Alaska Native alone,Total population Not Hispanic or Latino Asian alone,Total population Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Total population Not Hispanic or Latino Some Other Race alone,Total population Not Hispanic or Latino Two or More Races,Total population Not Hispanic or Latino Two or More Races Two races including Some Other Race,"Total population Not Hispanic or Latino Two or More Races Two races excluding Some Other Race, and three or more races","Citizen, 18 and over population","Citizen, 18 and over population Male","Citizen, 18 and over population Female"
0,69168,229,118,111,106.3,21,9,9,14,17,0,47,17,16,9,30,37,3,44.6,44,190,185,162,75,70,185,97,88,110.2,70,34,36,94.4,226,3,226,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,0,0,1,0,0,220,2,0,0,0,10,14,13,0,0,1,215,213,0,0,0,0,0,2,0,2,185,97,88
1,80002,"20,589","10,096","10,493",96.2,"1,134","1,197",819,"1,101","1,025","4,681","2,839","2,439","1,326","1,279","1,787",699,263,36.1,"3,734","17,264","16,855","16,238","3,413","2,749","16,855","8,184","8,671",94.4,"2,749","1,276","1,473",86.6,"18,292","2,297","18,292","17,049",140,9,0,0,0,0,267,61,36,53,41,21,18,37,0,0,0,0,0,827,"2,297",45,285,313,"1,582",16,0,"19,305",223,366,580,0,"2,443","4,943","4,379",62,68,434,"15,646","14,545",140,0,258,0,68,635,17,618,"15,830","7,626","8,204"
2,80003,"36,233","17,960","18,273",98.3,"2,202","2,236","2,114","2,074","2,368","6,054","5,546","4,034","1,623","2,337","3,755","1,432",458,36.7,"7,753","29,409","28,480","27,224","7,108","5,645","28,480","13,923","14,557",95.6,"5,645","2,312","3,333",69.4,"31,802","4,431","31,802","27,151",561,272,86,0,45,15,"1,421",109,213,137,14,76,539,333,5,5,0,0,0,"2,392","4,431",322,312,166,"3,110",283,55,"31,238","1,308",999,"1,622",66,"5,597","9,676","6,964",163,34,"2,515","26,557","22,701",498,206,"1,421",5,17,"1,709",605,"1,104","27,263","13,364","13,899"
3,80004,"35,349","17,421","17,928",97.2,"1,613","1,910","1,480","1,769","1,524","5,202","4,822","4,577","2,131","2,801","4,142","2,054","1,324",42.9,"6,184","29,976","29,165","28,277","9,191","7,520","29,165","14,497","14,668",98.8,"7,520","3,280","4,240",77.4,"33,070","2,279","33,070","31,185",355,166,0,0,100,1,446,124,97,19,56,14,12,124,0,0,0,0,0,918,"2,279",169,310,275,"1,254",27,0,"33,381",625,632,783,99,"2,224","4,050","2,680",98,11,"1,261","31,299","29,294",330,60,435,0,103,"1,077",197,880,"28,545","14,079","14,466"
4,80005,"29,155","14,370","14,785",97.2,"1,248","1,590","2,022","1,872","1,379","3,162","4,108","4,428","2,045","1,563","3,719","1,486",533,42.9,"5,928","23,908","23,227","21,952","6,703","5,738","23,227","11,158","12,069",92.5,"5,738","2,588","3,150",82.2,"27,343","1,812","27,343","26,319",168,145,0,0,55,0,506,46,136,34,131,123,0,36,8,8,0,0,0,197,"1,812",11,127,242,"1,099",0,37,"28,034",267,405,837,135,"1,499","3,250","2,426",44,0,780,"25,905","24,710",168,17,437,8,35,530,114,416,"22,993","11,035","11,958"
5,80007,"17,641","9,038","8,603",105.1,"1,042","1,444","1,399","1,204",580,"1,553","3,155","2,741","1,304","1,032","1,558",483,146,39.5,"4,685","13,541","12,956","12,485","2,808","2,187","12,956","6,447","6,509",99.0,"2,187","1,045","1,142",91.5,"16,209","1,432","16,209","15,024",14,57,0,0,0,0,782,267,145,42,25,118,49,136,0,0,0,0,0,332,"1,432",50,104,197,"1,074",0,0,"16,449",64,161,986,7,"1,406","1,756","1,161",56,24,515,"15,885","14,513",14,49,774,0,0,535,193,342,"12,526","6,291","6,235"
6,80010,"42,892","22,236","20,656",107.6,"3,306","3,325","3,236","3,586","3,188","7,058","6,198","5,764","1,778","1,438","2,656",923,436,31.8,"12,122","32,277","30,770","29,151","4,675","4,015","30,770","15,490","15,280",101.4,"4,015","1,664","2,351",70.8,"35,682","7,210","35,682","16,574","7,128",660,29,0,21,161,"2,475",281,63,149,65,32,171,"1,714",306,0,20,145,141,"8,539","7,210",473,281,170,"5,714",74,95,"23,444","7,985","1,177","2,931",434,"14,449","21,218","17,060",410,64,"3,684","21,674","10,024","7,074",311,"2,452",285,397,"1,131",109,"1,022","21,234","10,481","10,753"
7,80011,"52,633","26,676","25,957",102.8,"4,129","3,523","3,706","3,755","4,047","9,368","7,509","5,987","3,205","2,492","2,986","1,331",595,32.3,"13,611","40,542","39,022","36,658","6,349","4,912","39,022","19,437","19,585",99.2,"4,912","2,048","2,864",71.5,"44,322","8,311","44,322","21,371","9,596",731,0,0,101,50,"2,233",251,65,300,21,173,378,"1,045",116,24,0,0,92,"10,275","8,311",575,551,328,"5,112",96,432,"28,774","11,267","2,219","2,900",164,"16,477","26,260","21,453",664,245,"3,898","26,373","13,116","9,183",73,"2,233",87,132,"1,549",129,"1,420","30,240","15,074","15,166"
8,80012,"52,741","27,538","25,203",109.3,"4,381","3,983","2,850","2,923","4,827","9,355","7,658","5,590","2,929","2,299","3,838","1,682",426,32.9,"12,975","41,000","39,766","38,017","7,452","5,946","39,766","20,647","19,119",108.0,"5,946","2,628","3,318",79.2,"44,484","8,257","44,484","20,692","12,324",946,58,40,44,10,"2,884",31,316,261,78,360,"1,011",827,320,43,51,0,226,"7,318","8,257",841,241,691,"4,544",232,302,"27,861","14,570","2,315","3,846",371,"13,045","18,752","12,163",574,84,"5,931","33,989","15,989","12,055",359,"2,877",308,103,"2,298",162,"2,136","31,176","15,913","15,263"
9,80013,"73,870","36,535","37,335",97.9,"4,625","4,844","5,593","4,688","4,848","10,673","11,261","9,130","4,529","4,811","6,557","1,744",567,36.5,"17,994","58,118","55,876","53,264","11,675","8,868","55,876","27,482","28,394",96.8,"8,868","4,276","4,592",93.1,"64,510","9,360","64,510","43,218","11,308",424,8,1,17,9,"4,573",440,739,391,149,914,"1,104",836,103,103,0,0,0,"4,884","9,360","1,907",597,"1,346","3,436",20,607,"51,457","14,566","1,464","6,658",390,"9,757","17,348","13,265",659,19,"3,405","56,522","36,072","10,937",225,"4,529",103,243,"4,413",419,"3,994","51,756","25,154","26,602"
10,80014,"39,024","19,256","19,768",97.4,"1,949","1,697","1,492","1,684","2,381","6,577","5,466","4,546","1,940","2,301","4,630","3,037","1,324",40.5,"6,177","33,657","32,847","31,673","10,364","8,991","32,847","16,101","16,746",96.1,"8,991","3,600","5,391",66.8,"35,564","3,460","35,564","25,991","5,337",240,45,0,39,12,"2,801",237,321,168,183,668,134,"1,090",70,0,70,0,0,"1,125","3,460",464,348,440,"1,689",32,68,"29,043","6,085",860,"3,484",147,"3,044","5,953","2,854","1,023",77,"1,999","33,071","23,367","4,981",123,"2,797",70,11,"1,722",338,"1,384","30,346","15,014","15,332"
11,80015,"72,841","37,435","35,406",105.7,"4,275","5,493","5,249","5,088","3,620","9,092","11,616","10,334","5,251","4,688","5,700","1,794",641,38.4,"18,400","56,648","54,441","52,126","10,875","8,135","54,441","28,068","26,373",106.4,"8,135","4,114","4,021",102.3,"65,697","7,144","65,697","50,541","6,005",596,39,0,0,27,"6,150",770,"1,218",548,127,"1,458",650,"1,379",51,17,27,0,7,"2,354","7,144","1,374",356,674,"3,461",82,43,"57,176","7,807","1,501","7,345",540,"6,274","11,096","7,800",741,231,"2,324","61,745","45,898","5,814",177,"6,099",38,259,"3,460",617,"2,843","51,561","26,664","24,897"
12,80016,"64,842","32,821","32,021",102.5,"4,058","4,708","5,737","4,899","3,038","6,150","10,018","11,196","3,632","3,194","5,673","2,139",400,39.5,"18,036","49,259","46,806","44,909","10,186","8,212","46,806","23,018","23,788",96.8,"8,212","3,671","4,541",80.8,"58,277","6,565","58,277","45,608","4,129",63,5,0,2,10,"6,588","1,939","1,060",255,184,"1,301",522,"1,327",195,47,126,0,22,"1,694","6,565","1,177",404,"1,160","3,167",33,128,"51,790","5,597",698,"7,978",321,"5,306","6,975","4,481",360,48,"2,086","57,867","43,389","3,989",37,"6,579",195,157,"3,521",872,"2,649","44,529","22,107","22,422"
13,80017,"40,299","20,068","20,231",99.2,"2,238","2,790","2,975","3,416","3,286","7,049","6,188","4,947","2,004","2,557","2,007",649,193,32.5,"9,994","31,484","30,305","28,085","4,674","2,849","30,305","14,972","15,333",97.6,"2,849","1,144","1,705",67.1,"33,648","6,651","33,648","17,911","8,304",577,0,0,30,21,"2,121",173,162,656,11,344,134,641,69,0,69,0,0,"4,666","6,651",739,308,870,"4,038",80,40,"24,155","9,501","1,162","3,223",134,"9,086","13,524","10,576",419,77,"2,452","26,775","14,491","7,961",137,"1,960",69,257,"1,900",71,"1,829","25,816","12,772","13,044"
14,80018,"15,569","7,938","7,631",104.0,"1,373",997,"1,450",868,860,"2,358","2,714","2,112","1,048",672,734,325,58,34.7,"4,411","11,545","11,158","10,809","1,533","1,117","11,158","5,579","5,579",100.0,"1,117",437,680,64.3,"13,291","2,278","13,291","8,899","2,507",132,6,0,0,24,832,14,68,331,84,50,236,49,27,27,0,0,0,894,"2,278",417,54,199,"1,111",64,23,"11,049","3,169",318,"1,092",275,"2,138","3,115","2,000",280,172,663,"12,454","7,891","2,469",6,832,27,95,"1,134",63,"1,071","10,257","5,213","5,044"
15,80019,"4,809","2,333","2,476",94.2,293,404,139,267,484,"1,389",501,665,176,252,148,91,0,30.6,"1,022","3,973","3,787","3,539",479,239,"3,787","1,827","1,960",93.2,239,105,134,78.4,"4,075",734,"4,075","1,174","1,935",28,0,0,0,3,170,0,61,41,0,23,0,45,3,0,0,0,3,765,734,79,44,68,256,0,11,"1,713","2,189",172,414,15,"1,132","1,339","1,090",13,0,236,"3,470",925,"1,935",3,170,3,77,357,16,341,"3,348","1,635","1,713"
16,80020,"53,475","27,604","25,871",106.7,"2,693","3,301","3,262","3,623","3,319","7,999","8,133","7,010","3,667","2,834","4,855","1,693","1,086",38.2,"11,619","43,472","41,856","39,986","9,311","7,634","41,856","21,384","20,472",104.5,"7,634","3,578","4,056",88.2,"48,775","4,700","48,775","42,825",594,294,15,5,71,97,"3,424",547,657,447,174,174,586,839,18,0,0,18,0,"1,620","4,700",276,521,603,"3,043",29,16,"47,461","1,014","1,013","4,066",35,"4,765","8,851","6,714",336,137,"1,664","44,624","38,400",563,170,"3,378",18,267,"1,828",473,"1,355","39,575","19,987","19,588"
17,80021,"35,128","17,933","17,195",104.3,"1,499","1,313","1,319","1,526","3,276","8,206","4,633","4,039","2,288","2,415","2,879",938,797,36.0,"4,988","30,812","30,140","28,949","5,924","4,614","30,140","15,482","14,658",105.6,"4,614","1,936","2,678",72.3,"32,077","3,051","32,077","29,499",327,239,0,0,64,0,"1,300",281,135,42,134,142,317,249,50,0,0,0,50,662,"3,051",276,413,346,"1,633",0,20,"32,479",758,831,"1,863",73,"2,512","4,211","3,038",116,42,"1,015","30,917","27,800",316,155,"1,300",50,63,"1,233",155,"1,078","29,025","14,916","14,109"
18,80022,"58,681","29,403","29,278",100.4,"4,665","4,638","5,084","5,241","2,839","8,312","9,321","7,717","2,747","3,217","2,969","1,384",547,33.2,"18,344","43,213","40,337","38,534","6,827","4,900","40,337","20,324","20,013",101.6,"4,900","2,222","2,678",83.0,"49,310","9,371","49,310","37,903","2,450","1,722",0,0,0,58,"1,270",136,219,91,15,303,18,488,70,0,56,14,0,"5,895","9,371",301,"1,360",526,"6,439",22,0,"47,022","2,875","3,416","2,055",311,"12,769","31,774","27,397",439,63,"3,875","26,907","21,556","2,369",117,"1,270",70,113,"1,412",175,"1,237","34,951","17,248","17,703"
19,80023,"25,988","12,685","13,303",95.4,"1,322","1,751","2,466","1,910",994,"2,505","3,893","4,290","1,464","1,514","2,218","1,252",409,41.1,"6,878","20,009","19,110","18,399","4,766","3,879","19,110","9,189","9,921",92.6,"3,879","1,655","2,224",74.4,"24,095","1,893","24,095","20,735",397,24,0,0,0,17,"2,672","1,040",619,46,47,149,134,637,0,0,0,0,0,267,"1,893",241,129,512,699,0,0,"22,466",763,265,"3,373",31,"1,122","2,094","1,268",117,121,588,"23,894","19,415",397,17,"2,655",0,52,"1,358",356,"1,002","18,277","8,811","9,466"
20,80024,83,27,56,48.2,0,14,13,0,0,0,13,14,0,7,0,22,0,45.1,27,56,56,56,29,22,56,14,42,33.3,22,0,22,-,76,7,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,83,0,0,0,0,7,54,54,0,0,0,29,22,0,0,0,0,0,7,7,0,29,0,29
21,80025,45,21,24,87.5,5,0,0,0,8,7,0,7,0,9,9,0,0,54.4,5,40,40,40,18,9,40,16,24,66.7,9,0,9,-,38,7,38,31,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,38,0,7,7,0,0,0,0,0,0,0,45,31,0,7,0,0,0,7,0,7,40,16,24
22,80026,"32,675","15,972","16,703",95.6,"1,751","2,034","2,458","1,718","1,504","4,640","4,774","4,511","2,331","2,092","3,274","1,240",348,39.5,"7,285","25,889","25,390","24,449","6,182","4,862","25,390","12,375","13,015",95.1,"4,862","2,224","2,638",84.3,"29,406","3,269","29,406","26,771",217,0,0,0,0,0,"1,077",243,195,78,36,221,101,203,67,9,55,3,0,"1,274","3,269",307,176,738,"1,416",0,0,"29,900",785,503,"2,142",117,"3,010","5,113","2,706",411,98,"1,898","27,562","24,136",217,0,"1,077",67,88,"1,977",485,"1,492","24,159","11,859","12,300"
23,80027,"34,161","17,466","16,695",104.6,"1,674","2,682","2,742","2,601","1,449","3,893","5,124","5,204","2,492","1,916","2,907",922,555,39.2,"8,748","26,572","25,413","24,106","5,498","4,384","25,413","12,896","12,517",103.0,"4,384","2,033","2,351",86.5,"30,993","3,168","30,993","27,089",301,62,35,0,0,2,"3,115",888,781,127,240,234,170,675,9,9,0,0,0,417,"3,168",226,219,895,"1,593",0,0,"30,186",543,320,"4,245",97,"2,102","3,251","1,897",287,27,"1,040","30,910","25,943",158,60,"3,030",9,82,"1,628",274,"1,354","23,613","11,984","11,629"
24,80030,"16,891","8,556","8,335",102.7,"1,378",942,"1,002","1,119","1,449","2,479","2,692","1,440","1,051",907,"1,222",679,531,35.2,"4,012","13,438","12,879","12,071","2,848","2,432","12,879","6,513","6,366",102.3,"2,432","1,038","1,394",74.5,"13,930","2,961","13,930","11,900",361,170,8,0,9,75,422,0,0,146,43,0,42,191,55,15,0,0,40,"1,022","2,961",230,318,287,"1,556",0,13,"14,660",660,920,815,124,"3,035","7,919","6,179",14,43,"1,683","8,972","7,607",344,105,290,55,84,487,38,449,"12,193","6,143","6,050"
25,80031,"36,274","18,583","17,691",105.0,"1,527","1,900","2,065","2,294","1,550","6,155","5,247","4,608","2,331","2,809","3,595","1,681",512,40.3,"6,975","30,274","29,299","28,256","7,478","5,788","29,299","15,197","14,102",107.8,"5,788","2,469","3,319",74.4,"31,549","4,725","31,549","26,691",602,385,0,0,83,10,"1,911",98,230,122,53,237,667,504,66,0,17,49,0,"1,894","4,725",217,459,354,"3,211",28,28,"31,304",930,"1,234","2,374",69,"5,497","9,700","6,922",121,41,"2,616","26,574","23,136",537,32,"1,876",49,122,822,128,694,"27,865","14,401","13,464"
26,80033,"27,384","12,901","14,483",89.1,"1,505","1,358",929,"1,155","1,608","4,157","3,856","3,211","2,001","2,127","2,576","1,897","1,004",42.5,"4,429","23,224","22,955","22,237","6,823","5,477","22,955","10,551","12,404",85.1,"5,477","2,327","3,150",73.9,"24,824","2,560","24,824","23,143",219,467,23,0,28,9,399,42,122,22,33,0,155,25,0,0,0,0,0,596,"2,560",285,224,245,"1,495",0,0,"25,578",627,898,710,80,"2,340","5,843","4,219",60,13,"1,551","21,541","20,139",176,96,376,0,13,741,130,611,"22,680","10,358","12,322"
27,80045,"1,627",817,810,100.9,14,0,0,22,296,668,149,164,50,45,113,71,35,31.0,14,"1,613","1,613","1,578",254,219,"1,613",817,796,102.6,219,112,107,104.7,"1,432",195,"1,432","1,011",57,121,0,5,0,0,172,115,12,0,7,23,15,0,0,0,0,0,0,71,195,0,33,48,93,0,0,"1,206",57,160,235,15,170,214,160,0,0,54,"1,413",944,51,115,172,0,20,111,39,72,"1,440",766,674
28,80101,354,179,175,102.3,8,9,19,23,15,53,17,33,25,23,94,34,1,55.0,59,309,295,295,139,129,295,143,152,94.1,129,60,69,87.0,348,6,348,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,354,0,6,0,0,0,36,36,0,0,0,318,312,0,0,0,0,0,6,0,6,256,131,125
29,80102,"6,375","3,267","3,108",105.1,248,517,405,564,288,"1,008",787,708,564,516,509,252,9,37.6,"1,605","5,049","4,770","4,585","1,097",770,"4,770","2,519","2,251",111.9,770,400,370,108.1,"5,880",495,"5,880","5,318",116,28,8,0,0,0,36,0,17,8,6,5,0,0,0,0,0,0,0,382,495,10,60,71,290,0,6,"5,807",141,112,127,25,704,926,721,43,7,155,"5,449","5,009",116,22,36,0,73,193,75,118,"4,619","2,405","2,214"
30,80103,"3,184","1,391","1,793",77.6,207,324,233,405,200,326,478,422,241,49,201,89,9,32.7,"1,012","2,365","2,172","1,962",340,299,"2,172","1,009","1,163",86.8,299,172,127,135.4,"2,474",710,"2,474","2,325",56,14,5,0,0,0,9,0,0,4,5,0,0,0,0,0,0,0,0,70,710,43,22,0,624,0,0,"3,035",120,51,9,6,694,798,580,6,0,212,"2,386","2,173",46,14,9,0,20,124,38,86,"2,147",990,"1,157"
