,ZCTA,Total households,Total households Married-couple household,Total households Married-couple household With children of the householder under 18 years,Total households Cohabiting couple household,Total households Cohabiting couple household With children of the householder under 18 years,"Total households Male householder, no spouse/partner present","Total households Male householder, no spouse/partner present With children of the householder under 18 years","Total households Male householder, no spouse/partner present Householder living alone","Total households Male householder, no spouse/partner present Householder living alone 65 years and over","Total households Female householder, no spouse/partner present","Total households Female householder, no spouse/partner present With children of the householder under 18 years","Total households Female householder, no spouse/partner present Householder living alone","Total households Female householder, no spouse/partner present Householder living alone 65 years and over",Total households Households with one or more people under 18 years,Total households Households with one or more people 65 years and over,Total households Average household size,Total households Average family size,Population in households,Population in households Householder,Population in households Spouse,Population in households Unmarried partner,Population in households Child,Population in households Other relatives,Population in households Other nonrelatives,Males 15 years and over,Males 15 years and over Never married,"Males 15 years and over Now married, except separated",Males 15 years and over Separated,Males 15 years and over Widowed,Males 15 years and over Divorced,Females 15 years and over,Females 15 years and over Never married,"Females 15 years and over Now married, except separated",Females 15 years and over Separated,Females 15 years and over Widowed,Females 15 years and over Divorced,Number of women 15 to 50 years old who had a birth in the past 12 months,"Number of women 15 to 50 years old who had a birth in the past 12 months Unmarried women (widowed, divorced, and never married)","Number of women 15 to 50 years old who had a birth in the past 12 months Unmarried women (widowed, divorced, and never married) Per 1,000 unmarried women","Number of women 15 to 50 years old who had a birth in the past 12 months Per 1,000 women 15 to 50 years old","Number of women 15 to 50 years old who had a birth in the past 12 months Per 1,000 women 15 to 19 years old","Number of women 15 to 50 years old who had a birth in the past 12 months Per 1,000 women 20 to 34 years old","Number of women 15 to 50 years old who had a birth in the past 12 months Per 1,000 women 35 to 50 years old",Number of grandparents living with own grandchildren under 18 years,Number of grandparents living with own grandchildren under 18 years Grandparents responsible for grandchildren,Number of grandparents living with own grandchildren under 18 years Years responsible for grandchildren Less than 1 year,Number of grandparents living with own grandchildren under 18 years Years responsible for grandchildren 1 or 2 years,Number of grandparents living with own grandchildren under 18 years Years responsible for grandchildren 3 or 4 years,Number of grandparents living with own grandchildren under 18 years Years responsible for grandchildren 5 or more years,Number of grandparents responsible for own grandchildren under 18 years,Number of grandparents responsible for own grandchildren under 18 years Who are female,Number of grandparents responsible for own grandchildren under 18 years Who are married,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school Nursery school, preschool",Population 3 years and over enrolled in school Kindergarten,Population 3 years and over enrolled in school Elementary school (grades 1-8),Population 3 years and over enrolled in school High school (grades 9-12),Population 3 years and over enrolled in school College or graduate school,Population 25 years and over,Population 25 years and over Less than 9th grade,"Population 25 years and over 9th to 12th grade, no diploma",Population 25 years and over High school graduate (includes equivalency),"Population 25 years and over Some college, no degree",Population 25 years and over Associate's degree,Population 25 years and over Bachelor's degree,Population 25 years and over Graduate or professional degree,Population 25 years and over High school graduate or higher,Population 25 years and over Bachelor's degree or higher,Civilian population 18 years and over,Civilian population 18 years and over Civilian veterans,Total Civilian Noninstitutionalized Population,Total Civilian Noninstitutionalized Population With a disability,Under 18 years,Under 18 years With a disability,18 to 64 years,18 to 64 years With a disability,65 years and over,65 years and over With a disability,Population 1 year and over,Population 1 year and over Same house,Population 1 year and over Different house (in the U.S. or abroad),Population 1 year and over Different house (in the U.S. or abroad) Different house in the U.S.,Population 1 year and over Different house (in the U.S. or abroad) Different house in the U.S. Same county,Population 1 year and over Different house (in the U.S. or abroad) Different house in the U.S. Different county,Population 1 year and over Different house (in the U.S. or abroad) Different house in the U.S. Different county Same state,Population 1 year and over Different house (in the U.S. or abroad) Different house in the U.S. Different county Different state,Population 1 year and over Different house (in the U.S. or abroad) Abroad,Total population,Total population Native,Total population Native Born in United States,Total population Native Born in United States State of residence,Total population Native Born in United States Different state,"Total population Native Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Total population Foreign born,Foreign-born population,Foreign-born population Naturalized U.S. citizen,Foreign-born population Not a U.S. citizen,Population born outside the United States,Population born outside the United States Native,Population born outside the United States Native Entered 2010 or later,Population born outside the United States Native Entered before 2010,Population born outside the United States Foreign born,Population born outside the United States Foreign born Entered 2010 or later,Population born outside the United States Foreign born Entered before 2010,"Foreign-born population, excluding population born at sea","Foreign-born population, excluding population born at sea Europe","Foreign-born population, excluding population born at sea Asia","Foreign-born population, excluding population born at sea Africa","Foreign-born population, excluding population born at sea Oceania","Foreign-born population, excluding population born at sea Latin America","Foreign-born population, excluding population born at sea Northern America",Population 5 years and over,Population 5 years and over English only,Population 5 years and over Language other than English,"Population 5 years and over Language other than English Speak English less than ""very well""",Population 5 years and over Spanish,"Population 5 years and over Spanish Speak English less than ""very well""",Population 5 years and over Other Indo-European languages,"Population 5 years and over Other Indo-European languages Speak English less than ""very well""",Population 5 years and over Asian and Pacific Islander languages,"Population 5 years and over Asian and Pacific Islander languages Speak English less than ""very well""",Population 5 years and over Other languages,"Population 5 years and over Other languages Speak English less than ""very well""",Total population American,Total population Arab,Total population Czech,Total population Danish,Total population Dutch,Total population English,Total population French (except Basque),Total population French Canadian,Total population German,Total population Greek,Total population Hungarian,Total population Irish,Total population Italian,Total population Lithuanian,Total population Norwegian,Total population Polish,Total population Portuguese,Total population Russian,Total population Scotch-Irish,Total population Scottish,Total population Slovak,Total population Subsaharan African,Total population Swedish,Total population Swiss,Total population Ukrainian,Total population Welsh,Total population West Indian (excluding Hispanic origin groups),Total households With a computer,Total households With a broadband Internet subscription
0,69168,89,58,20,8,0,8,0,5,5,15,0,15,10,22,44,2.57,3.15,229,89,52,9,70,9,0,97,23,57,0,3,14,93,16,53,1,8,15,0,0,0,0,0,0,0,3,3,0,0,3,0,3,1,3,41,8,0,15,12,6,159,0,8,45,41,14,46,5,151,51,185,27,229,37,44,0,115,7,70,30,229,216,13,13,11,2,0,2,0,229,229,229,112,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,193,15,6,15,6,0,0,0,0,0,0,30,0,0,16,1,37,1,0,74,4,0,53,6,0,0,3,0,0,0,5,0,0,3,0,0,0,0,88,81
1,80002,"9,416","3,489","1,201","1,087",130,"1,967",173,"1,432",317,"2,873",380,"1,708",442,"2,166","2,018",2.18,2.85,"20,506","9,416","3,332","1,096","4,827","1,009",826,"8,583","3,581","3,739",54,163,"1,046","8,856","3,389","3,465",197,604,"1,201",196,39,11,37,0,57,15,356,92,6,31,12,43,92,68,61,"3,891",179,90,"1,581",756,"1,285","15,313",462,"1,113","3,636","2,307","1,249","4,024","2,522","13,738","6,546","16,855","1,157","20,582","2,262","3,733",80,"14,105","1,237","2,744",945,"20,366","16,585","3,781","3,704","1,593","2,111","1,461",650,77,"20,589","19,149","18,911","10,355","8,556",238,"1,440","1,440",405,"1,035","1,678",238,0,238,"1,440",472,968,"1,440",251,251,42,0,891,5,"19,455","16,272","3,183",728,"2,560",612,411,107,138,0,74,9,325,101,250,220,146,"2,603",575,61,"4,107",183,38,"2,418","1,524",0,397,624,47,396,101,446,41,90,397,19,95,8,0,"8,880","8,551"
2,80003,"14,254","6,415","2,744","1,417",307,"2,728",189,"1,805",416,"3,694",629,"2,220","1,118","4,268","4,030",2.53,3.18,"36,073","14,254","6,678","1,430","9,958","2,229","1,524","14,498","5,253","7,285",178,335,"1,447","15,183","4,527","7,262",189,"1,153","2,052",301,63,13,33,0,57,17,737,455,286,0,6,163,455,392,432,"8,090",540,324,"3,444","1,762","2,020","25,239",534,"1,413","6,784","5,886","2,290","5,606","2,726","23,292","8,332","28,473","1,816","36,143","4,993","7,742",512,"22,800","2,560","5,601","1,921","35,876","30,156","5,720","5,548","2,006","3,542","2,897",645,172,"36,233","32,878","32,580","19,090","13,490",298,"3,355","3,355","1,922","1,433","3,653",298,119,179,"3,355",521,"2,834","3,355",444,"1,086",85,0,"1,660",80,"34,031","27,561","6,470","1,690","4,044",994,856,213,922,278,648,205,"1,362",602,230,110,651,"2,864",988,122,"5,951",65,53,"3,546","2,178",34,435,620,93,504,367,725,0,61,584,55,68,382,13,"13,391","12,884"
3,80004,"14,819","7,738","2,266",862,200,"2,793",136,"1,997",704,"3,426",421,"2,256","1,514","3,406","5,300",2.36,2.88,"34,926","14,819","7,601",910,"8,407","1,967","1,222","15,061","4,475","8,196",90,475,"1,825","15,285","3,302","7,977",280,"1,761","1,965",445,25,7,58,0,114,26,480,218,11,13,69,125,218,103,125,"6,443",352,445,"2,630","1,456","1,560","27,053",484,"1,139","6,854","5,380","2,086","7,287","3,823","25,430","11,110","29,165","2,408","35,018","4,655","6,180",115,"21,615","1,840","7,223","2,700","34,874","30,436","4,438","4,366","2,138","2,228","1,398",830,72,"35,349","33,897","33,529","17,020","16,509",368,"1,452","1,452",808,644,"1,820",368,46,322,"1,452",308,"1,144","1,452",594,341,8,75,341,93,"33,736","31,368","2,368",622,"1,443",320,712,223,162,62,51,17,"1,162",63,272,325,613,"4,606",688,163,"7,736",254,121,"4,459","3,006",63,844,724,58,202,512,"1,009",23,104,991,178,187,647,9,"13,994","13,569"
4,80005,"11,341","7,274","2,906",563,86,"1,323",137,913,297,"2,181",345,"1,273",737,"3,698","3,861",2.57,2.93,"29,109","11,341","7,269",567,"7,958","1,086",888,"11,777","3,243","7,423",0,249,862,"12,518","2,851","7,511",81,676,"1,399",275,18,6,42,0,75,30,474,29,0,0,0,29,29,15,29,"6,462",344,174,"3,076","1,496","1,372","21,044",141,412,"3,170","4,099","1,662","7,436","4,124","20,491","11,560","23,219","1,829","29,118","2,431","5,928",277,"17,481",849,"5,709","1,305","28,910","26,539","2,371","2,358","1,103","1,255",818,437,13,"29,155","28,192","27,967","15,176","12,791",225,963,963,729,234,"1,188",225,0,225,963,129,834,963,398,254,57,11,181,62,"27,907","26,227","1,680",259,822,127,608,43,117,89,133,0,818,103,420,382,531,"4,593","1,035",83,"6,940",134,122,"4,770","2,470",79,"1,211",554,24,356,283,820,52,81,993,111,120,200,0,"11,124","10,935"
5,80007,"6,238","4,676","2,314",136,25,602,122,411,165,824,214,569,321,"2,706","1,549",2.83,3.15,"17,631","6,238","4,657",133,"5,732",664,207,"6,875","1,434","4,904",34,131,372,"6,881","1,011","4,872",41,399,558,448,23,19,113,45,102,133,226,42,10,5,0,27,42,20,42,"4,924",383,310,"2,319","1,068",844,"11,972",76,63,"1,479","1,640",976,"4,753","2,985","11,833","7,738","12,956",848,"17,641",982,"4,685",81,"10,769",215,"2,187",686,"17,448","14,739","2,709","2,620",765,"1,855","1,063",792,89,"17,641","16,449","16,206","7,110","9,096",243,"1,192","1,192",702,490,"1,435",243,52,191,"1,192",356,836,"1,192",268,506,67,0,278,73,"16,599","15,005","1,594",287,627,140,548,36,371,101,48,10,423,145,104,333,355,"2,308",433,114,"4,033",61,123,"2,585","1,412",24,459,848,42,98,211,513,0,49,690,27,87,498,0,"6,188","6,069"
6,80010,"14,229","4,892","2,671","1,596",701,"3,434",287,"1,958",269,"4,307","1,282","1,697",561,"5,824","2,578",2.98,3.72,"42,444","14,229","4,850","1,604","13,932","5,588","2,241","16,702","8,120","6,238",488,331,"1,525","16,323","6,783","5,616",533,"1,017","2,374",687,252,33,58,33,81,45,"1,372",434,144,39,129,122,434,288,221,"11,859",788,511,"5,412","2,966","2,182","26,251","4,206","2,892","7,675","4,589","2,155","2,990","1,744","19,153","4,734","30,708","1,596","42,577","5,277","12,120",649,"26,615","2,972","3,842","1,656","42,338","33,458","8,880","8,314","3,489","4,825","4,073",752,566,"42,892","28,954","28,408","17,342","11,066",546,"13,938","13,938","3,184","10,754","14,484",546,82,464,"13,938","4,926","9,012","13,938",163,"2,089","2,049",82,"9,554",1,"39,586","18,378","21,208","11,020","16,454","8,165","1,293",834,"1,230",834,"2,231","1,187",842,122,33,33,243,"1,504",541,111,"3,287",175,7,"2,415",761,38,154,285,51,108,224,251,0,"2,732",401,39,0,225,17,"13,289","12,597"
7,80011,"18,213","7,106","3,221","1,681",654,"4,018",344,"2,537",491,"5,408","1,174","2,435",994,"6,468","3,983",2.87,3.63,"52,282","18,213","7,030","1,613","15,885","7,090","2,451","20,671","9,443","8,644",570,313,"1,701","20,604","8,152","7,786",648,"1,509","2,509","1,164",471,57,84,5,143,38,"1,659",415,38,170,137,70,415,341,203,"12,595",775,688,"5,677","2,914","2,541","33,473","3,526","3,773","10,617","6,893","2,845","3,823","1,996","26,174","5,819","38,684","2,735","52,180","5,707","13,611",484,"33,712","3,236","4,857","1,987","51,762","42,639","9,123","8,594","3,080","5,514","4,261","1,253",529,"52,633","38,530","37,132","22,283","14,849","1,398","14,103","14,103","4,458","9,645","15,501","1,398",532,866,"14,103","4,653","9,450","14,103",594,"1,684","1,682",23,"10,053",67,"48,504","25,466","23,038","10,643","18,784","8,281","1,281",505,"1,518",936,"1,455",921,"1,164",84,62,114,429,"2,399",733,83,"4,442",130,132,"2,347","1,260",0,462,467,87,72,219,336,19,"2,602",350,55,29,161,47,"17,236","15,599"
8,80012,"19,160","7,386","3,118","1,473",486,"4,594",312,"2,779",482,"5,707","1,574","2,829","1,106","6,267","4,185",2.73,3.46,"52,375","19,160","7,322","1,458","15,295","6,219","2,921","21,496","9,294","8,964",745,161,"2,332","20,031","6,858","8,294",693,"1,542","2,644","1,000",328,45,78,23,107,56,"1,369",299,94,56,12,137,299,224,179,"11,830",724,812,"5,014","2,655","2,625","33,777","2,890","2,661","9,027","7,484","3,076","5,385","3,254","28,226","8,639","39,749","2,991","52,450","6,310","12,955",385,"33,727","3,748","5,768","2,177","51,932","39,333","12,599","11,813","5,192","6,621","5,048","1,573",786,"52,741","37,540","36,504","19,381","17,123","1,036","15,201","15,201","5,597","9,604","16,237","1,036",432,604,"15,201","6,093","9,108","15,201",900,"2,615","3,235",47,"8,335",69,"48,360","27,993","20,367","10,821","12,581","6,618","2,293","1,375","2,068","1,254","3,425","1,574","1,153",202,66,337,414,"2,501",590,123,"4,252",51,93,"2,635","1,484",63,560,400,12,559,197,428,44,"3,704",258,51,128,141,193,"18,382","17,489"
9,80013,"25,691","13,477","5,580","1,960",991,"3,902",625,"2,452",644,"6,352","1,618","2,709","1,087","9,736","6,123",2.87,3.25,"73,813","25,691","13,543","1,900","23,708","5,577","3,394","28,934","9,925","15,353",356,376,"2,924","29,874","8,982","14,422",712,"1,335","4,423",869,236,23,45,0,81,27,"2,041",554,33,145,85,291,554,445,213,"19,001",671,"1,224","8,056","4,290","4,760","49,272","2,349","2,567","11,593","11,376","5,610","11,035","4,742","44,356","15,777","55,586","4,563","73,570","7,947","17,994",903,"46,715","4,976","8,861","2,068","73,085","63,468","9,617","9,478","5,390","4,088","2,510","1,578",139,"73,870","62,104","60,658","32,174","28,484","1,446","11,766","11,766","7,340","4,426","13,212","1,446",243,"1,203","11,766","2,095","9,671","11,766","1,226","3,815","2,002",0,"4,608",115,"69,245","51,085","18,160","6,524","9,627","3,229","2,492",691,"3,161","1,639","2,880",965,"3,087",404,242,294,779,"6,775","1,450",206,"9,926",499,208,"6,100","2,278",76,"1,191","1,360",151,569,787,"1,310",18,"2,384","1,062",71,397,387,190,"25,305","24,734"
